Scattered successful lookup:
absl::flat_hash_set;foa_unordered_rc16_set;foa_unordered_rc15_set
10000;0.185744;0.209365;0.217811
10500;0.185151;0.209502;0.217851
11025;0.18565;0.209792;0.219352
11576;0.186777;0.211714;0.220747
12154;0.187554;0.2123;0.221189
12760;0.188968;0.213199;0.22406
13396;0.190856;0.215358;0.228832
14063;0.193428;0.218284;0.21713
14763;0.189311;0.209055;0.217206
15498;0.189437;0.209517;0.217193
16269;0.189736;0.209837;0.217724
17078;0.189536;0.210459;0.218134
17927;0.189802;0.210496;0.218786
18818;0.189999;0.211083;0.219473
19753;0.19049;0.211921;0.219945
20734;0.191022;0.212807;0.220811
21764;0.191398;0.213636;0.222154
22845;0.192393;0.215031;0.223924
23980;0.193601;0.215907;0.224869
25171;0.195244;0.217476;0.227794
26421;0.197825;0.21984;0.233034
27733;0.200867;0.223573;0.219462
29110;0.195599;0.209563;0.219703
30555;0.195735;0.209865;0.219747
32072;0.19573;0.210098;0.219656
33664;0.195862;0.21035;0.220218
35335;0.196183;0.211254;0.220877
37089;0.196432;0.211163;0.221513
38930;0.196626;0.212652;0.22215
40863;0.197041;0.213322;0.222922
42892;0.197803;0.214021;0.224053
45022;0.198863;0.215225;0.2255
47258;0.19992;0.216711;0.227436
49605;0.201595;0.217881;0.230712
52069;0.204147;0.221169;0.235671
54656;0.208108;0.225942;0.223409
57372;0.202782;0.215006;0.225276
60223;0.203097;0.213616;0.22385
63216;0.204334;0.214534;0.224216
66358;0.205679;0.215074;0.224067
69657;0.205907;0.215891;0.225058
73120;0.205297;0.216207;0.2254
76756;0.205209;0.217834;0.225267
80573;0.205667;0.217375;0.227558
84580;0.207162;0.218803;0.228481
88787;0.208562;0.221213;0.229887
93204;0.208916;0.221602;0.231762
97841;0.211394;0.223912;0.235052
102709;0.213913;0.22622;0.23953
107820;0.21724;0.230612;0.249458
113186;0.222425;0.238359;0.249793
118820;0.239333;0.239233;0.250883
124735;0.240289;0.239977;0.251035
130945;0.239831;0.241614;0.251667
137465;0.240108;0.241841;0.252606
144311;0.240075;0.243567;0.253795
151499;0.240449;0.245031;0.254998
159046;0.240747;0.246007;0.255774
166970;0.241368;0.247003;0.257159
175290;0.241996;0.248295;0.258556
184026;0.243215;0.250035;0.261345
193198;0.244404;0.252788;0.264684
202828;0.246426;0.256246;0.270105
212939;0.249685;0.260944;0.276674
223555;0.254827;0.268679;0.271892
234701;0.254927;0.275958;0.273323
246404;0.255233;0.277236;0.274599
258692;0.257113;0.278135;0.275725
271594;0.256816;0.278961;0.277058
285141;0.256905;0.280052;0.278655
299365;0.256761;0.28106;0.280417
314300;0.257101;0.282811;0.282689
329981;0.258292;0.284348;0.283546
346446;0.25856;0.286415;0.286771
363734;0.258538;0.287915;0.28911
381886;0.262382;0.290765;0.293437
400945;0.264462;0.293683;0.298681
420956;0.267307;0.2982;0.30567
441967;0.270055;0.305303;0.293225
464028;0.285994;0.257182;0.293736
487192;0.279603;0.258142;0.296581
511514;0.286196;0.259405;0.295915
537052;0.279153;0.262249;0.297834
563866;0.288172;0.263725;0.298813
592020;0.277265;0.26662;0.300916
621581;0.278268;0.269608;0.304199
652620;0.279386;0.271697;0.304779
685210;0.279959;0.274626;0.307725
719429;0.280152;0.278181;0.312866
